"MSW05_Order","MSW05_Family","MSW05_Genus","MSW05_Species","MSW05_Binomial","1-1_ActivityCycle","5-1_AdultBodyMass_g","8-1_AdultForearmLen_mm","13-1_AdultHeadBodyLen_mm","2-1_AgeatEyeOpening_d","3-1_AgeatFirstBirth_d","18-1_BasalMetRate_mLO2hr","5-2_BasalMetRateMass_g","6-1_DietBreadth","7-1_DispersalAge_d","9-1_GestationLen_d","12-1_HabitatBreadth","22-1_HomeRange_km2","22-2_HomeRange_Indiv_km2","14-1_InterbirthInterval_d","15-1_LitterSize","16-1_LittersPerYear","17-1_MaxLongevity_m","5-3_NeonateBodyMass_g","13-2_NeonateHeadBodyLen_mm","21-1_PopulationDensity_n/km2","10-1_PopulationGrpSize","23-1_SexualMaturityAge_d","10-2_SocialGrpSize","24-1_TeatNumber","12-2_Terrestriality","6-2_TrophicLevel","25-1_WeaningAge_d","5-4_WeaningBodyMass_g","13-3_WeaningHeadBodyLen_mm","References","5-5_AdultBodyMass_g_EXT","16-2_LittersPerYear_EXT","5-6_NeonateBodyMass_g_EXT","5-7_WeaningBodyMass_g_EXT","26-1_GR_Area_km2","26-2_GR_MaxLat_dd","26-3_GR_MinLat_dd","26-4_GR_MidRangeLat_dd","26-5_GR_MaxLong_dd","26-6_GR_MinLong_dd","26-7_GR_MidRangeLong_dd","27-1_HuPopDen_Min_n/km2","27-2_HuPopDen_Mean_n/km2","27-3_HuPopDen_5p_n/km2","27-4_HuPopDen_Change","28-1_Precip_Mean_mm","28-2_Temp_Mean_01degC","30-1_AET_Mean_mm","30-2_PET_Mean_mm"
"Artiodactyla","Camelidae","Camelus","dromedarius","Camelus dromedarius",3,402714.47,0,0,0,1651.62,40203,407000,3,0,386.51,1,106.32,0,614.41,0.08,1,480,36751.1,0,0.08,11,1047.04,10,0,1,1,380.38,0,0,"511;543;719;1274;1297;1594;1654;1822;1848;2655;3044",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Carnivora","Canidae","Canis","adustus","Canis adustus",1,10302.4,0,745.32,0,0,0,0,6,320,65,1,1.01,1.01,0,4.5,0,137,0,0,0.74,0,240.88,0,8,1,2,52.8,0,0,"542;543;730;1113;1297;1573;2655",0,0,0,0,10581413.14,16.72,28.73,6,43.55,17.53,13,0,35.2,1,0.14,0.75,236.51,22,1534.4
"Carnivora","Canidae","Canis","aureus","Canis aureus",2,658.7,0,827.53,7.5,0,0,0,6,0,61.24,1,2.05,3.13,365,3.74,0,102,211.82,0,0.22,0,371.23,0,8,1,2,61.3,0,0,"543;679;730;1113;1297;1573;2655",0,1.1,0,0,25730527.43,47,4.71,21.14,108.54,17.05,45.74,0,70.2,0,0.1,44.61,217.23,438.02,1358.08
"Carnivora","Canidae","Canis","latrans","Canis latrans",2,11080.1,0,872.3,11.04,365,3600,10450,1,255,61.74,1,18.88,10.01,365,5.72,0,262,200.01,0,0.25,0,372,0,8,1,3,43.71,0,0,"367;542;543;730;1113;1297;1573;1822;2655",0,1.1,0,0,17000004.3,71.3,8.02,30.7,67.07,168.12,117.6,0,27.27,0,0.06,53.03,58.18,503.02,728.37
"Carnivora","Canidae","Canis","lupus","Canis lupus",2,31756.51,0,1055,14.01,547.5,11254.2,33100,1,180,63.5,1,150.86,43.13,365,4.08,2,354,412.31,0,0.01,0,670.37,0,0,1,3,44.82,0,0,"367;542;543;730;1015;1052;1113;1297;1573;1594;2338;2655",0,0,0,0,50803430.7,83.27,11.48,47.38,170.65,171.84,3,0,37.87,0,0.04,34.7,4.82,313.33,561.11
"Artiodactyla","Bovidae","Bos","frontalis","Bos frontalis",2,800143.05,0,2700,0,0,0,0,3,0,273.75,0,0,0,403.02,1.22,1,314.4,22077.05,0,0.54,0,610.07,40,0,0,1,186.67,0,0,"511;543;730;899;1297;1525;1848;2655;2986",0,0,0,0,2204331.63,28.01,2.86,15.43,108.68,73.55,1.12,1,152.67,8,0,145.21,220.71,1053.45,1483.02
"Artiodactyla","Bovidae","Bos","grunniens","Bos grunniens",0,505,0,0,0,0,0,0,2,0,273.75,0,0,0,0,1,1,267,0,0,0,0,755.15,110,0,0,1,243.33,0,0,"511;899;1297;1525;1848;2655",0,0,0,0,1523540.07,38.88,20.66,34.27,0.23,75.01,87.57,0,2.03,0,0.05,30.41,50.31,246.2,732.74
"Artiodactyla","Bovidae","Bos","javanicus","Bos javanicus",2,635074.34,0,2075,0,12.5,0,0,2,0,206.78,1,0,0,0,1.22,1,318.06,0,0,0.75,21,707.31,40,0,1,1,287.74,0,0,"511;730;899;1297;1525;1848;2152;2655",0,0,0,0,1687020.66,25.08,8.78,8.15,118.35,4.04,106.64,1,130.21,4,0.11,187.6,230.18,1301.28,1502.26
"Primates","Pitheciidae","Callicebus","cupreus","Callicebus cupreus",3,1117.02,0,354,0,0,0,0,0,0,120.25,1,0,0,305.41,1.01,0,0,73.6,0,4.8,0,0,2.05,0,2,0,201.85,0,0,"1544;1547;1605;1633;1848;2151;2251;2344;2655;2986",0,1.05,0,0,600023.14,2.5,10.67,6.58,61.5,74.02,68.25,0,1.07,0,0.05,106.01,255.36,1520.55,1573.18
"Primates","Pitheciidae","Callicebus","discolor","Callicebus discolor",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-999",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Primates","Pitheciidae","Callicebus","donacophilus","Callicebus donacophilus",3,807.67,0,0,0,0,0,0,0,0,0,1,0,0,0,1.02,0,0,0,0,0,0,0,1,0,2,0,0,0,0,"1547;1605;1633;2151;2655",0,0,0,0,288750.02,10.45,21.2,15.87,57.52,67.21,62.37,0,3.63,0,0.17,108.03,244.32,1238.1,1460.11
"Primates","Pitheciidae","Callicebus","dubius","Callicebus dubius",3,2.4,0,0,0,0,0,0,0,0,0,1,0,0,0,1.02,0,0,0,0,0,0,0,1,0,2,0,0,0,0,"1605;1633;2151;2655",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Primates","Pitheciidae","Callicebus","hoffmannsi","Callicebus hoffmannsi",3,1067.61,0,0,0,0,0,0,0,0,0,1,0,0,0,1.02,0,0,0,0,0,0,0,1,0,2,0,0,0,0,"1547;1605;1633;2151;2655",0,0,0,0,8076.46,1.05,6,3.07,54.87,50.21,57.04,0,2.6,0,0.1,158.41,258.18,1417.63,1610.4
"Primates","Pitheciidae","Callicebus","lucifer","Callicebus lucifer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-999",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Primates","Pitheciidae","Callicebus","lugens","Callicebus lugens",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-999",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
